id	w	p	l	c1	c2	pred
1760	have	V	T	Have an assistant .	Have a lover .	F
1761	call	N	T	He placed a phone call to London .	She reported several anonymous calls .	F
1762	carry	V	F	This boat can only carry a small sail .	Amanda carried the package to New York .	F
1763	weapon	N	F	The club that is now mostly used for golf was once a common weapon .	He used all his conversational weapons .	T
1764	right	N	F	You have no right to go through my personal diary .	He stood on the right .	F
1765	rebellion	N	T	His body was in rebellion against fatigue .	Each generation must have its own rebellion .	F
1766	post	N	F	He occupied a post in the treasury .	A pair of posts marked the goal .	F
1767	unit	N	T	Change per unit volume .	The dollar is the United States unit of currency .	F
1768	third	N	F	He answered the first question willingly , the second reluctantly , and the third with resentment .	Now put it into third .	T
1769	opening	N	F	There is an opening in the sales department .	He slipped through an opening in the crowd .	T
1770	foot	N	F	We went there by foot because we could not afford a taxi .	The foot of the list .	F
1771	rock	N	T	He threw a rock at me .	Some fool has thrown a rock through my window .	T
1772	voice	N	F	The wee small voice of conscience .	The voice of the law .	F
1773	trade	N	F	They are accused of conspiring to constrain trade .	They rode the trade winds going west .	F
1774	shift	V	F	Shift the date for our class reunion .	Shift one 's position .	F
1775	split	N	F	He inserted the wedge into a split in the log .	They announced a two-for-one split of the common stock .	F
1776	language	N	T	The English language .	He recorded the spoken language of the streets .	T
1777	cut	V	F	Cut my hair .	Cut the engine .	F
1778	give	V	F	The French doors give onto a terrace .	Give a course .	F
1779	pay	V	F	Pay attention .	He paid off the loan three months early .	F
1780	hang	V	F	Hang the venison for a few days .	Hang one 's head in shame .	F
1781	stretch	V	F	During the Inquisition , the torturers would stretch their victims on a rack .	Let 's stretch for a minute -- we've been sitting here for over 3 hours .	F
1782	mail	N	T	He works for the United States mail service .	The mail handles billions of items every day .	T
1783	charge	V	T	I need to charge my car battery .	Do n't forget to charge the drill .	T
1784	see	V	T	You 'll see a lot of cheating in this school .	The 1960 's saw the rebellion of the younger generation against established traditions .	T
1785	tone	N	T	From the tone of her behavior I gathered that I had outstayed my welcome .	The general tone of articles appearing in the newspapers is that the government should withdraw .	T
1786	court	N	F	The court is now in session .	The noblemen visited the queen in her court .	T
1787	glass	N	F	We looked through the glass to see stars .	Would you like a glass of milk ?	T
1788	text	N	T	He wants to reconstruct the original text .	There were more than a thousand words of text .	T
1789	lift	V	F	Lift a ban .	Lift a load .	F
1790	hit	V	T	The car hit a tree .	The ball hit the fence .	T
1791	life	N	F	He lived a long and happy life .	Life depends on many chemical and physical processes .	F
1792	drive	V	F	Drive the cows into the barn .	Drive the ball far out into the field .	F
1793	wash	V	T	He managed to wash out the stains .	He washed the dirt from his coat .	T
1794	dawn	V	F	It started to dawn , and we had to get up .	The age of computers had dawned .	F
1795	carry	V	F	To carry an account to the ledger .	How many credits is this student carrying ?	F
1796	bind	V	F	Bind the books in leather .	The hydrogen binds the oxygen .	F
1797	meet	V	T	Does this paper meet the requirements for the degree ?	This proposal meets my requirements .	T
1798	hold	V	F	Hold your temper .	The book holds in store much valuable advise .	F
1799	burn	V	F	To burn the mouth with pepper .	She was burning with anger .	F
1800	room	N	T	Room to pass .	Hardly enough elbow room to turn around .	T
1801	take	V	T	Take the gun from your pocket .	Mother took our plates away and came back with some fruit for us to eat .	T
1802	get	V	F	Did you get it ?	What did you get at the toy store ?	T
1803	support	N	F	They called for artillery support .	He applied to the state for support .	F
1804	interest	N	T	Victorian furniture is an interest of mine .	He counts reading among his interests .	T
1805	make	V	T	He did n't make the choir after his voice changed .	He made twenty bucks playing poker last night .	F
1806	faith	N	T	They broke faith with their investors .	Keep the faith .	F
1807	raise	V	F	To raise Sandy Hook light .	Raise hell .	F
1808	ghetto	N	T	The relative security of the gay ghetto .	No escape from the ghetto of the typing pool .	F
1809	diversification	N	T	My broker recommended a greater diversification of my investments .	He limited his losses by diversification of his product line .	T
1810	life	N	F	His heroism saved a life .	She 's my love , my life .	F
1811	office	N	F	During his first year in office .	He rented an office in the new building .	T
1812	give	V	F	Give priority to .	Give one 's name .	F
1813	leak	N	T	He had to clean up the leak .	A leak in a boat .	T
1814	fair	N	T	Trade fair .	Book fair .	T
1815	trend	N	F	The trend of a coastline .	Not openly liberal but that is the trend of the book .	F
1816	title	N	F	His title to fame .	He kept the title to his car in the glove compartment .	F
1817	way	N	F	If I had my way .	A lonely way of life .	T
1818	stay	V	F	I can only stay for an hour .	The smell stayed in the room .	F
1819	spend	V	F	Spend money .	I spent the time on worrying about the future .	T
1820	light	N	F	They saw the light of the beacon .	He stopped the car and turned off the lights .	F
1821	shock	N	F	Whole fields of wheat in shock .	It came as a shock to learn that he was injured .	F
1822	bit	N	T	A horse hates having a bit put in its mouth .	The horse was not accustomed to a bit .	T
1823	have	V	F	What do we have here ?	I have two years left .	F
1824	take	V	T	Do you take me for a fool ?	You ca n't take credit for this !	F
1825	owe	V	T	I still owe for the car .	The thesis owes much to his adviser .	T
1826	purchase	V	T	$ 50 wo n't even purchase a dress .	Carmen purchased a dress for $ 50 .	T
1827	go	V	F	The washing machine wo n't go unless it 's plugged in .	These ugly billboards have to go !	F
1828	grace	N	F	It has become less common to say grace before having dinner .	God 's grace is manifested in the salvation of sinners .	F
1829	feel	V	F	I made the students feel different about themselves .	He felt his flesh crawl .	F
1830	catch	V	T	I have to stop for a moment and catch my breath .	Catch one 's breath .	T
1831	make	V	F	Make my day .	Make revolution .	F
1832	connect	V	T	This computer will connect well to the network .	Herman connected the computers .	T
1833	act	V	T	The governor should act on the new energy bill .	The nanny acted quickly by grabbing the toddler and covering him with a wet towel .	F
1834	shake	V	F	Shake one 's head .	The bad news shook her hopes .	F
1835	read	V	F	The gauge read ` empty ' .	Read the advertisement .	F
1836	cut	V	T	She cut the deck for a long time .	Wayne cut .	F
1837	lead	N	F	The police are following a promising lead .	We were just waiting for someone to take the lead .	T
1838	chain	N	T	A chain of mountains .	The chain of command .	F
1839	piece	N	F	It was a nice piece of work .	It is down the road a piece .	F
1840	keep	V	F	Keep food for a week in the pantry .	There 's little to earn and many to keep .	F
1841	space	N	F	It all happened in the space of 10 minutes .	They tested his ability to locate objects in space .	F
1842	cut	V	F	Cut grain .	Cut a disk .	T
1843	see	V	F	I want to see whether she speaks French .	Could you see about lunch ?	T
1844	air	N	T	Air pollution .	The flock of birds took to the air .	F
1845	suffer	V	T	I 've been suffering your insults for years .	Many saints suffered martyrdom .	T
1846	move	V	F	I move to repel the rule regarding obligatory school uniform .	He moved his hand slightly to the right .	F
1847	play	V	T	Let 's play like I am mommy .	Play cowboy and Indians .	T
1848	wall	N	F	His back was to the wall .	The container 's walls were blue .	F
1849	hold	V	F	Hold your breath .	He 's held by a contract .	F
1850	bounce	V	F	Bounce a check .	The rubber ball bounced .	F
1851	go	V	F	This chair has got to go .	The policemen went from door to door looking for the suspect .	F
1852	round	V	T	The total is $ 25,715 but to keep the figures simple , I 'll round it down to $ 25,000 .	Ninety-five rounds up to one hundred .	F
1853	place	N	F	He lost his place on the page .	Grosvenor Place .	F
1854	pick	V	F	To pick rags .	She finally picked her successor .	F
1855	keep	V	F	Keep potatoes fresh .	Keep notes .	T
1856	ensure	V	T	This nest egg will ensure a nice retirement for us .	Our exertions ensured a good outcome .	F
1857	touch	V	F	The two buildings touch .	Are you all right ? You 've hardly touched your lunch .	F
1858	follow	V	F	When he lectures , I can not follow .	Follow the trail .	F
1859	raise	V	F	To raise a wall , or a heap of stones .	The President raised several million dollars for his college .	F
1860	make	V	T	Make merry .	He made as if to punch him , but they both laughed and shook hands .	F
1861	home	N	F	There 's no place like home .	The teacher asked how many people made up his home .	F
1862	edge	N	T	She sat on the edge of the bed .	The water 's edge .	T
1863	keep	V	F	May God keep you .	She keeps an apartment in Paris for her shopping trips .	F
1864	draw	V	F	Draw a line .	To draw a memorial , a deed , or bill of exchange .	F
1865	sale	N	T	He celebrated after the sale of company .	The salesman faxed the sales agreement to his home office .	F
1866	hold	V	F	I hold him personally responsible .	The bridge held .	F
1867	point	N	F	10.5 ( " ten point five " ; = ten and a half ) .	He stuck the point of the knife into a tree .	F
1868	garage	V	T	We do n't garage our car .	We garaged the convertible during the monsoon months .	T
1869	hold	V	F	To hold true .	He 's held by a contract .	F
1870	hold	V	T	The general ordered the colonel to hold his position at all costs .	Hold the taxi .	T
1871	vote	N	T	They allowed just one vote per person .	The Supreme Court upheld the principle of one person , one vote .	T
1872	deal	N	T	We need to finalise the deal with Henderson by midnight .	It was a package deal .	T
1873	fill	N	T	He ate his fill of potatoes .	Do n't feed him any more : he 's had his fill .	T
1874	face	N	F	Dew dripped from the face of the leaf .	He looked out at a roomful of faces .	F
